
#2408:8256:3d61::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1069.1312108039856

#2400:b180::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1176.1986918449402

#2407:0:3001:100::/56,budget:5000000
target:4999992,active:4903831,hitrate:0.9807677692284308,duration:1136.9406435489655

#2600:370f:74a8::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1158.0815143585205

#2408:8956:1600::/42,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1164.0282232761383

#2409:8904:3d40::/44,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1154.1549575328827

#2001:1248:4346::/48,budget:5000000
target:4999997,active:2,hitrate:4.00000240000144e-07,duration:1150.2440145015717

#2804:165c::/32,budget:5000000
target:4999996,active:6,hitrate:1.200000960000768e-06,duration:1169.3493251800537

#2405:7f00:9500::/43,budget:5000000
target:4999993,active:0,hitrate:0.0,duration:1206.1949939727783

#2407:0:0:57::/64,budget:5000000
target:4999999,active:2,hitrate:4.00000080000016e-07,duration:1062.1954958438873

#2a09:c3c0::/29,budget:5000000
target:4999996,active:34,hitrate:6.800005440004352e-06,duration:1184.3096678256989

#2806:20d:162a::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1132.5930378437042

#240e:9b:f032::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1128.3087213039398

#2603:903e:6::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1132.9845972061157

#2804:1880::/32,budget:5000000
target:4999996,active:0,hitrate:0.0,duration:1176.6230924129486

#2a02:8070::/31,budget:5000000
target:4999996,active:1113,hitrate:0.00022260017808014247,duration:1164.7931141853333

#2620:74:23::/48,budget:5000000
target:4999997,active:1,hitrate:2.00000120000072e-07,duration:1170.6242353916168

#240e:3b0:d800::/38,budget:5000000
target:4999999,active:0,hitrate:0.0,duration:1194.7548053264618

#2600:6c38:198::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1139.2998797893524

#2402:800:6327::/48,budget:5000000
target:4999997,active:27,hitrate:5.400003240001944e-06,duration:1141.0561997890472

#2001:579:1014::/46,budget:5000000
target:4999997,active:424,hitrate:8.480005088003052e-05,duration:1120.605546951294

#2804:816c::/32,budget:5000000
target:4999996,active:28,hitrate:5.600004480003584e-06,duration:1090.4030585289001

#2a0b:9b00:443::/48,budget:5000000
target:4999997,active:0,hitrate:0.0,duration:1167.9334561824799

#2401:4900:2501::/48,budget:5000000
